Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,9.3
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,8.7
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,7.5
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.8
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.7
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.7
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.7
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.8
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.4
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,,,,,,6.3
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,Weiblich,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,9.9
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,9.3
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.9
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.2
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.1
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.1
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,6.5
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.0
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,7.2
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,6.6
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Weiblich,,,,,6.6
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,.,Männlich,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,8.8
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,8.1
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,7.0
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.3
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.2
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.3
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.5
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.2
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Europäische Union,,Männlich,,,,,6.0
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,5.7
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,4.7
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,3.7
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,3.4
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,3.0
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,,,,,,4.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,4.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,6.2
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,6.9
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,6.2
2025,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,,,,5.6
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,Weiblich,,,,,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,6.3
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,5.1
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,4.0
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,3.6
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,3.3
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,|,Weiblich,,,,,4.4
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,4.3
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,6.1
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,6.8
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,Weiblich,,,,,6.1
